epoch,accuracy,loss,val_accuracy,val_loss
0,0.734000027179718,0.7604483366012573,0.8537499904632568,0.34497278928756714
1,0.8360000252723694,0.375459760427475,0.8487499952316284,0.3312477767467499
2,0.8679999709129333,0.32706984877586365,0.8337500095367432,0.411986380815506
3,0.9089999794960022,0.23933784663677216,0.8862500190734863,0.3207029104232788
4,0.9200000166893005,0.22252580523490906,0.8274999856948853,0.5210393667221069
5,0.9390000104904175,0.19099143147468567,0.8112499713897705,0.699893593788147
6,0.9369999766349792,0.1672634780406952,0.824999988079071,0.6189404129981995
7,0.9449999928474426,0.1577785462141037,0.8899999856948853,0.41177958250045776
8,0.9570000171661377,0.12050189077854156,0.8949999809265137,0.42185235023498535
9,0.9639999866485596,0.10044293105602264,0.90625,0.37897223234176636
